DEPTH,COT_anl,COT,GR,NPHI,PE,RHOB,DT,RT,predicted_COT_model_5_FFNN,predicted_COT_model_5_XGB
5718.0,,0.47,53.37,15.65,4.62,2.54,70.19,133.32,1.1142,2.9582
5736.0,,0.44,53.37,15.65,4.62,2.54,70.38,133.32,1.1134,2.9243
5754.0,,0.39,53.37,15.65,4.62,2.54,70.58,133.32,1.1124,2.8809
5772.0,,0.5,53.37,15.65,4.62,2.54,70.78,133.32,1.1111,2.8803
5808.0,,0.47,53.37,15.65,4.62,2.53,71.18,133.32,1.1023,3.0372
5826.0,,0.62,53.37,15.65,4.62,2.53,71.38,133.32,1.1013,2.979
5862.0,,0.61,53.37,15.65,4.62,2.53,71.77,133.32,1.099,3.0343
5880.0,,1.27,53.37,15.65,4.62,2.53,71.97,133.32,1.0975,3.0182
5898.0,,0.63,53.37,15.65,4.62,2.53,72.17,133.32,1.0957,2.9746
5916.0,,0.63,56.83,19.34,3.41,2.3,56.22,0.01,0.9765,0.5387
5952.0,,1.69,62.64,12.9,4.12,2.42,58.7,0.01,0.9533,1.3159
5970.0,,1.75,46.82,15.52,4.01,2.38,54.6,0.01,0.6388,1.2443
5988.0,,2.02,33.7,1.45,5.53,2.62,53.19,0.01,0.3322,0.8158
6006.0,,0.86,62.99,13.82,4.31,2.39,63.5,0.01,0.9447,0.8486
6024.0,,0.69,47.89,15.07,4.52,2.38,55.42,0.0,0.6455,1.1161
6024.0,,0.69,47.89,15.07,4.52,2.38,55.42,0.0,0.6455,1.1161
6024.0,,2.09,47.89,15.07,4.52,2.38,55.42,0.0,0.6455,1.1161
6042.0,,2.81,36.88,31.33,2.71,2.42,55.44,0.0,0.8052,1.8232
6060.0,,2.57,115.29,16.68,4.18,2.07,65.48,142.75,2.6107,2.8166
6071.0,,0.19,55.0,2.12,6.55,2.37,68.17,333.93,0.6954,0.4756
6078.0,,2.55,84.46,1.84,4.6,2.7,55.91,146.68,1.1781,1.7273
6081.0,,0.23,35.27,0.68,6.5,2.69,55.09,166.63,0.4993,0.8612
6085.5,,0.39,57.75,0.7,5.87,2.65,58.43,440.15,0.8296,1.3755
6087.0,,3.03,62.74,1.4,5.4,2.65,63.0,302.01,1.0402,2.4331
6090.0,,1.5,110.26,1.58,4.22,2.45,71.84,625.7,1.3153,1.4081
6091.0,,1.18,98.19,0.94,4.42,2.57,67.47,555.63,1.3243,1.0181
6091.0,,1.1,98.19,0.94,4.42,2.57,67.47,555.63,1.3243,1.0181
6091.0,,1.1,98.19,0.94,4.42,2.57,67.47,555.63,1.3243,1.0181
6093.0,,1.47,68.81,1.2,5.22,2.65,56.15,529.08,0.98,1.8504
6096.0,,3.1,40.06,0.7,7.39,2.48,61.42,436.18,0.4479,1.7579
6099.0,,3.44,67.28,1.2,5.25,2.63,70.22,399.16,1.2435,2.6655
6102.0,,1.59,52.2,1.08,6.82,2.67,62.6,229.02,0.8577,1.7235
6135.0,,2.45,88.49,1.7,4.61,2.64,71.02,188.9,1.4128,2.4383
6144.0,,4.21,74.51,1.5,5.19,2.64,65.27,156.65,1.2318,2.8057
6147.0,,1.91,57.87,0.9,5.57,2.63,64.55,966.93,0.9312,2.0332
6150.0,,3.23,104.05,1.8,4.13,2.63,62.69,194.45,1.2937,1.4185
6153.0,,3.53,88.99,1.3,4.6,2.64,60.22,241.43,1.217,1.3507
6156.0,,1.73,67.67,0.7,5.2,2.67,60.78,11.34,1.0965,1.8238
6159.0,,2.61,64.65,0.98,5.38,2.66,62.71,294.28,1.0829,2.484
6162.0,,2.11,57.27,1.08,5.77,2.67,61.98,552.97,0.9459,1.8387
6165.0,,2.06,91.7,0.8,4.5,2.68,58.73,226.22,1.2503,1.3434
6168.0,,2.01,80.97,1.7,5.01,2.59,71.46,269.4,1.3003,1.8497
6171.0,,1.91,51.6,0.6,6.64,2.68,58.98,184.64,0.8017,1.3155
6177.0,,2.01,31.47,0.54,5.45,2.64,57.48,65.9,0.3992,0.8668
6180.0,,2.12,30.47,0.7,5.89,2.65,58.57,14.07,0.4166,0.884
6183.0,,3.01,27.3,0.5,5.62,2.62,55.6,47.81,0.3325,1.0677
6184.0,,0.05,100.1,1.9,4.3,2.68,64.65,186.98,1.3281,0.692
6186.0,,2.94,14.16,0.0,5.74,2.63,56.26,1.9,0.3015,1.3077
6189.0,,3.07,46.35,2.52,5.4,2.27,76.53,9.87,0.8357,1.8103
6192.0,,2.54,30.17,1.86,5.82,2.6,62.12,56.23,0.4249,0.7933
6195.0,,2.33,43.16,-0.58,5.91,2.72,87.04,20.0,1.3184,1.0039
6198.0,,1.99,16.47,0.0,5.84,2.94,55.57,1672.02,0.8619,1.5596
6198.0,,1.99,16.47,0.0,5.84,2.94,55.57,1672.02,0.8619,1.5596
6198.0,,1.99,16.47,0.0,5.84,2.94,55.57,1672.02,0.8619,1.5596
6198.0,,2.51,16.47,0.0,5.84,2.94,55.57,1672.02,0.8619,1.5596
6201.0,,2.47,33.84,0.9,6.35,2.65,63.35,149.85,0.5594,1.5038
6204.0,,2.03,29.14,-0.4,5.97,2.7,62.93,29.4,0.5902,1.1935
6207.0,,2.07,15.69,0.0,5.45,2.9,53.58,161.92,0.7456,1.2663
6225.0,,0.73,27.66,0.64,5.68,2.69,55.05,78.39,0.3984,0.6457
6227.5,,0.26,32.85,0.7,5.44,2.67,56.21,209.34,0.4292,0.6976
6228.0,,0.75,24.33,0.76,5.68,2.68,55.7,58.93,0.3712,0.4506
6231.0,,0.96,35.95,0.66,5.41,2.66,56.74,42.87,0.4632,0.6981
6266.0,,0.75,44.32,1.0,6.06,2.64,62.03,18.44,0.6566,0.943
6267.0,,0.74,47.5,1.02,6.7,2.68,59.44,7.52,0.7321,0.8019
6276.0,,0.99,45.01,0.6,6.48,2.67,55.37,1097.11,0.602,0.9349
6279.0,,0.82,49.31,1.4,6.68,2.57,68.16,34.49,0.7615,0.795
6282.0,,1.24,62.26,2.0,4.73,2.44,80.45,60.56,0.9281,1.0793
6285.0,,2.82,52.02,1.84,5.75,2.5,73.66,19.71,0.8553,2.484
6285.0,,3.64,52.02,1.84,5.75,2.5,73.66,19.71,0.8553,2.484
6285.0,,0.95,52.02,1.84,5.75,2.5,73.66,19.71,0.8553,2.484
6286.5,,0.5,50.6,2.3,5.82,2.5,74.87,22.74,0.8484,1.1696
6291.0,,1.2,47.64,1.64,5.97,2.53,73.11,18.79,0.8249,1.1277
6294.0,,1.01,76.18,1.88,4.69,2.49,70.43,20.14,1.0499,1.1581
6297.0,,0.84,51.98,3.03,6.29,2.39,70.08,30.74,0.6905,0.7875
6300.0,,1.13,52.4,1.22,5.62,2.55,70.42,11.01,0.852,1.3115
6303.0,,1.06,56.6,1.2,5.08,2.51,70.46,19.89,0.8861,1.3668
6306.0,,1.03,57.86,1.18,5.13,2.49,70.51,19.93,0.8701,1.3555
6309.0,,1.15,55.73,1.2,5.07,2.48,70.62,19.87,0.8461,1.3404
6315.0,,0.95,41.07,0.9,6.49,2.47,70.69,19.93,0.6843,1.2129
6318.0,,1.16,41.07,0.9,6.49,2.48,70.72,19.93,0.6871,1.2009
6321.0,,1.31,41.07,0.9,6.49,2.41,70.76,19.93,0.6585,1.1764
6324.0,,1.21,41.07,0.9,6.44,2.41,68.29,19.93,0.6174,1.0327
6333.0,,1.35,55.64,11.68,4.74,2.57,73.21,9.09,1.1247,1.4949
6342.0,,1.3,71.54,12.53,3.61,2.53,67.81,5.51,1.1291,0.5498
6348.0,,1.44,50.74,10.78,5.83,2.57,82.04,28.09,1.0431,1.0473
6357.0,,1.47,66.77,15.78,4.32,2.55,79.68,10.79,1.1766,1.242
6363.0,,1.66,56.04,5.76,4.25,2.54,76.48,20.78,0.9572,1.0378
6366.0,,1.62,64.7,14.34,4.74,2.59,76.65,15.33,1.2408,1.6494
6369.0,,1.66,69.71,14.61,4.35,2.56,76.01,48.27,1.2126,1.8048
6372.0,,1.54,64.48,13.29,4.33,2.59,75.32,36.85,1.234,1.3543
6375.0,,1.5,68.57,11.06,5.15,2.57,73.87,149.47,1.2433,1.6305
6378.0,,1.61,56.44,4.49,4.9,2.56,75.81,16.66,1.0075,1.2112
6381.0,,1.53,60.1,7.76,4.67,2.6,73.67,15.93,1.1582,1.4609
6384.0,,1.6,84.31,10.41,4.64,2.54,70.71,34.57,1.24,1.026
6387.0,,1.8,68.58,9.05,5.45,2.58,65.1,75.29,1.0853,1.2499
6390.0,,1.54,90.84,13.8,4.48,2.57,74.54,11.73,1.2932,1.7193
6396.0,,1.5,65.43,13.9,4.67,2.58,78.72,14.83,1.2506,1.5876
6396.0,,1.74,65.43,13.9,4.67,2.58,78.72,14.83,1.2506,1.5876
6396.0,,1.67,65.43,13.9,4.67,2.58,78.72,14.83,1.2506,1.5876
6399.0,,1.69,93.42,15.01,3.81,2.5,79.07,6.9,1.279,1.7977
6402.0,,1.54,70.32,11.24,4.12,2.55,75.68,12.29,1.2464,1.5913
6408.0,,1.26,97.79,15.78,4.13,2.54,72.86,7.79,1.4042,1.7014
6411.0,,1.41,96.39,14.69,4.52,2.55,71.82,12.66,1.3779,1.6738
6414.0,,1.47,86.4,12.35,4.41,2.56,72.94,14.1,1.2695,1.6818
6417.0,,1.62,83.72,14.28,4.51,2.54,73.26,14.54,1.235,1.7112
6420.0,,1.39,91.72,15.53,4.32,2.54,75.38,9.87,1.3066,1.3248
6423.0,,1.43,77.21,19.63,4.44,2.52,78.35,10.59,1.1582,1.3593
6423.0,,1.46,77.21,19.63,4.44,2.52,78.35,10.59,1.1582,1.3593
6423.0,,1.56,77.21,19.63,4.44,2.52,78.35,10.59,1.1582,1.3593
6423.0,,1.31,77.21,19.63,4.44,2.52,78.35,10.59,1.1582,1.3593
6426.0,,1.47,73.24,11.74,4.31,2.56,75.19,14.63,1.2601,1.4296
6429.0,,1.26,79.29,13.53,4.15,2.52,70.67,10.36,1.2094,1.0929
6432.0,,1.41,92.0,12.79,4.31,2.56,70.89,13.35,1.317,1.6852
6435.0,,1.54,66.77,11.71,4.5,2.55,73.21,20.79,1.1959,1.446
6438.0,,1.44,36.94,8.25,4.68,2.62,72.07,15.54,0.7686,1.073
6441.0,,1.52,31.57,3.59,5.55,2.63,61.49,27.71,0.4244,0.5649
6444.0,,1.33,43.94,6.44,5.33,2.59,64.08,29.11,0.5717,0.5702
6447.0,,1.76,81.61,15.17,3.71,2.51,85.22,6.49,1.1852,1.5863
6453.0,,1.18,43.41,10.41,6.16,2.57,67.04,22.47,0.7102,1.2117
6453.0,,1.27,43.41,10.41,6.16,2.57,67.04,22.47,0.7102,1.2117
6453.0,,1.44,43.41,10.41,6.16,2.57,67.04,22.47,0.7102,1.2117
6456.0,,1.21,40.97,14.97,4.16,2.59,75.98,7.83,1.0755,1.222
6462.0,,1.29,65.86,14.06,4.75,2.56,82.25,17.75,1.2113,1.5115
6465.0,,1.36,69.9,12.04,4.32,2.55,76.46,9.82,1.2429,1.5422
6468.0,,1.35,77.35,17.54,4.52,2.53,79.7,12.91,1.1981,1.5643
6471.0,,1.26,101.67,22.55,4.12,2.36,85.14,22.14,1.3555,1.1705
6474.0,,1.39,80.6,18.64,4.49,2.54,80.81,12.3,1.2224,1.6987
6477.0,,1.28,65.8,13.33,4.32,2.56,76.59,43.63,1.2227,1.4534
6711.0,,0.39,32.51,2.22,6.45,2.59,62.34,1513.63,0.4381,0.4675
7209.0,,0.72,75.38,3.83,5.2,2.49,68.58,21.84,1.0042,0.6756
7209.0,,1.19,75.38,3.83,5.2,2.49,68.58,21.84,1.0042,0.6756
7212.0,,1.33,76.09,3.93,4.87,2.5,68.43,31.11,1.0274,1.0867
7212.0,,0.64,76.09,3.93,4.87,2.5,68.43,31.11,1.0274,1.0867
7215.0,,0.85,98.02,4.12,4.79,2.51,67.89,40.11,1.2645,1.0702
7218.0,,0.78,99.61,4.44,5.17,2.49,68.6,13.43,1.2626,1.094
7221.0,,0.72,87.53,12.88,5.16,2.42,81.02,7.67,1.0846,1.0883
7221.0,,1.08,87.53,12.88,5.16,2.42,81.02,7.67,1.0846,1.0883
7224.0,,1.45,103.5,17.9,5.35,2.36,86.83,8.12,1.0488,1.2146
7224.0,,0.85,103.5,17.9,5.35,2.36,86.83,8.12,1.0488,1.2146
7227.0,,0.76,133.7,4.55,5.19,2.47,68.97,12.06,1.8017,0.94
7230.0,,3.55,82.68,4.45,5.03,2.55,67.35,29.94,1.2056,1.5938
7230.0,,0.74,82.68,4.45,5.03,2.55,67.35,29.94,1.2056,1.5938
7233.0,1.59,0.93,74.81,5.13,4.95,2.49,70.63,15.85,1.0329,0.7661
7239.0,,0.81,111.48,6.32,5.2,2.46,71.17,11.66,1.4096,1.5667
7242.0,,0.77,70.06,4.55,5.19,2.47,69.14,12.06,0.9198,0.6292
7245.0,,0.79,89.27,3.96,4.84,2.52,68.25,39.64,1.2254,0.6668
7254.0,,0.88,60.83,4.45,4.92,2.55,75.06,27.28,1.0292,1.0438
7263.0,1.47,,60.83,4.45,4.92,2.55,75.06,27.28,1.0292,1.0438
7269.0,,0.82,63.93,3.67,4.85,2.53,71.01,42.42,0.9886,0.7294
7272.0,,0.62,48.99,4.83,4.79,2.53,68.65,29.6,0.6638,0.5574
7272.0,,0.77,48.99,4.83,4.79,2.53,68.65,29.6,0.6638,0.5574
7287.0,,1.08,44.54,4.55,5.19,2.46,69.64,12.06,0.625,0.9457
7287.0,,0.85,44.54,4.55,5.19,2.46,69.64,12.06,0.625,0.9457
7290.0,,1.07,69.66,11.55,5.15,2.43,77.4,11.38,0.9161,0.9939
7290.0,,0.89,69.66,11.55,5.15,2.43,77.4,11.38,0.9161,0.9939
7308.0,,1.43,50.62,18.04,5.18,2.32,94.0,7.31,0.5672,1.0526
7308.0,,1.22,50.62,18.04,5.18,2.32,94.0,7.31,0.5672,1.0526
7311.0,,1.2,42.56,4.55,5.19,2.46,69.9,12.06,0.6139,0.9635
7314.0,,0.67,39.45,4.36,5.21,2.47,70.08,12.84,0.5856,0.8753
7317.0,,0.53,36.66,5.76,5.16,2.47,71.94,30.79,0.5664,0.5009
7320.0,,1.09,42.95,4.56,5.1,2.48,70.72,13.27,0.6347,0.8588
7326.0,2.63,0.7,31.69,3.84,4.79,2.5,68.54,40.81,0.4757,0.6756
7329.0,,0.85,30.82,3.87,4.87,2.51,68.72,35.91,0.4734,0.5687
7332.0,,0.89,32.04,3.66,4.87,2.52,68.56,38.46,0.4922,0.7197
7335.0,,0.86,42.61,4.31,4.87,2.57,68.85,27.22,0.6379,0.7939
7338.0,,0.82,38.37,3.8,4.85,2.52,74.53,36.65,0.6774,0.9533
7347.0,,0.82,51.16,4.45,4.92,2.54,79.07,27.28,0.9347,0.8436
7350.0,,0.75,37.18,4.41,5.11,2.55,69.01,29.13,0.5638,0.7543
7353.0,,0.75,39.63,4.31,5.24,2.56,69.05,30.08,0.5981,0.7951
7356.0,1.79,,39.63,4.31,5.24,2.56,69.05,30.08,0.5981,0.7951
7359.0,,0.8,36.63,4.0,4.81,2.52,69.12,34.3,0.5484,0.7644
7362.0,,0.78,59.35,3.6,4.79,2.49,69.6,41.07,0.8387,0.596
7362.0,,0.76,59.35,3.6,4.79,2.49,69.6,41.07,0.8387,0.596
7365.0,,0.8,83.15,10.25,5.06,2.44,76.25,8.44,1.1142,0.8073
7368.0,,0.76,29.63,3.96,4.78,2.51,69.63,40.81,0.4767,0.6956
7371.0,,0.76,34.8,3.87,4.81,2.5,69.52,43.87,0.53,0.6989
7377.0,,0.71,26.78,3.73,4.87,2.48,69.5,39.19,0.4445,0.709
7380.0,,0.74,35.13,4.01,4.84,2.51,69.15,38.08,0.5278,0.6409
7383.0,,0.7,36.35,3.93,4.8,2.48,70.14,38.74,0.5576,0.6713
7386.0,1.95,0.69,42.18,3.96,4.84,2.5,69.73,39.64,0.6138,0.862
7389.0,,0.64,34.07,4.24,5.11,2.46,70.47,15.23,0.534,0.7605
7392.0,,0.73,35.49,4.0,4.89,2.51,69.62,32.45,0.5407,0.6412
7398.0,,0.65,28.98,4.45,5.13,2.53,69.0,40.33,0.4634,0.774
7401.0,,0.75,31.37,4.32,4.9,2.52,69.86,53.37,0.5021,0.7819
7404.0,,0.76,29.52,3.72,4.79,2.52,69.69,31.98,0.4847,0.816
7407.0,,0.77,22.75,4.01,4.77,2.51,69.7,30.4,0.4078,0.5874
7410.0,,0.72,20.52,4.37,5.52,2.53,69.87,26.76,0.3956,0.6437
7416.0,1.65,0.86,30.26,4.45,5.06,2.53,69.91,27.55,0.4952,0.8023
7422.0,1.61,,30.26,4.45,5.06,2.53,69.91,27.55,0.4952,0.8023
7452.0,,0.96,38.96,3.95,5.44,2.57,81.44,26.76,0.9059,0.7514
7488.0,,1.41,22.14,3.93,5.31,2.54,70.17,30.59,0.4264,0.7371
7506.0,,0.8,34.84,4.36,5.29,2.6,70.21,119.01,0.6226,0.8284
7524.0,,0.72,24.83,6.21,5.26,2.61,76.94,88.17,0.6483,0.5229
